row_index,label,certainty_score,hedge_score,likes_within_platform_percentile,comments_within_platform_percentile,views_within_platform_percentile,duration_sec_within_platform_percentile,record_id,platform,content_group
70,4,0.0,0.6451612903225806,0.8333333,0.7962963,0.8744856,0.29218107,youtube:000070,youtube,0403735c8fbc3bf28c2378ec16d641b643796cf984a7be9ef8142090c7426bf6
71,1,2.34375,3.90625,0.14609054,0.22633745,0.18312757,0.30658436,youtube:000071,youtube,98036f10d1bde14c7bb037bea8d529f68d71db3482c69016fe8968013314b310
72,3,1.8248175182481752,1.4598540145985401,0.80864197,0.8909465,0.718107,0.80246913,youtube:000072,youtube,3f57a71318abe9fad3843d9ce0983b7506010343b83c743cf3afecb8b7425dbe
73,1,0.5524861878453039,2.2099447513812156,0.7921811,0.88271606,0.9115226,0.63786006,youtube:000073,youtube,570c6ab828a3c3bf5b45eba6c756235354b4fbb08d2e882214f12321a6ec265c
74,3,0.0,0.0,0.8292181,0.8539095,0.82098764,0.4218107,youtube:000074,youtube,6c5a4a59de85d5584e0f0bf5ece582b4866deb3a746dd470cefedc5e7ca8c2ae
75,4,1.639344262295082,2.459016393442623,0.40123457,0.36625513,0.39711934,0.75102884,youtube:000075,youtube,e40848aa8688e02dcf88916310d685ffbf2e350bed238c35b62baf9dfdf299b3
76,1,0.7299270072992701,2.9197080291970803,0.15226337,0.100823045,0.11728395,0.4218107,youtube:000076,youtube,8ceb9458dc0d5a63d6a6a1c04fc303f029764e9f3e538e03f5f621538ed9eed8
77,1,0.0,1.5151515151515151,0.5617284,0.40329218,0.6728395,0.82510287,youtube:000077,youtube,3c3e4de46b2cdeca1b1d33b62062018c09112d58f5b1bfcec1cdcb98cc9669c0
78,1,1.7391304347826086,3.4782608695652173,0.053497944,0.100823045,0.03909465,0.4218107,youtube:000078,youtube,4628baa6829defb639c5c8a2e0d84e597a86f2746fcb12cc3e9a480237804745
79,1,1.8867924528301887,3.7735849056603774,0.82098764,0.8148148,0.8292181,0.54526746,youtube:000079,youtube,e86a2fc0bb71a1a1c89110a9347becbd51bc4f8bc923c4a161a8a4b871ef27aa
80,3,2.412280701754386,2.192982456140351,0.49588478,0.47325101,0.4053498,0.9979424,youtube:000080,youtube,f4ce783eef24afb3ad207fa8a326a561751d2cc7ad14403b2386a476d8868984
81,4,0.0,2.5641025641025643,0.18724279,0.100823045,0.19135803,0.04526749,youtube:000081,youtube,4953a0787f0707d412071aa8e5694ada5a64eb752345df4965bc8d703efa33b6
82,4,1.8404907975460123,1.2269938650306749,0.086419754,0.100823045,0.018518519,0.7386831,youtube:000082,youtube,21ee5b497fac9bd25b9392029aef36ac6343b03916b800c6c2933a66c5491018
83,2,0.0,3.10077519379845,0.37242797,0.4526749,0.2489712,0.94855964,youtube:000083,youtube,e7c63a9c63fa5d545c1ac580a587b3e8be595500079c2a6a4abb4d45b1e70831
84,1,0.0,2.5974025974025974,0.7613169,0.7633745,0.80864197,0.30658436,youtube:000084,youtube,d1e692ed5e1884bee0f43ced95d331cf927503bb1552b0d23518001b3168df60
85,1,0.0,3.821656050955414,0.7839506,0.77160496,0.67695475,0.63786006,youtube:000085,youtube,de4bbfbef9110e3dc5c2e1fc3568e4cb8ea93235eb159bbdfe121b8478f9ec41
86,4,0.0,1.3333333333333333,0.06995885,0.100823045,0.100823045,0.06995885,youtube:000086,youtube,e9d428810793776478c56298ddbb3cbf603e187b0ad1a965d15b1fe9565c7d3f
87,2,0.6493506493506493,1.948051948051948,0.87860084,0.84156376,0.8168724,0.5781893,youtube:000087,youtube,b9adcce967cf2da60659b5379fdc0a74f255f8cd64589ca69fc5b3223b437f3d
88,3,0.0,4.819277108433735,0.024691358,0.100823045,0.010288066,0.27572018,youtube:000088,youtube,faa663df90735c296753ed6c3ab27a98d8b13fbc469eac9d5baea48edfad51ea
89,1,1.9047619047619047,3.8095238095238093,0.8868313,0.89506173,0.8497942,0.75102884,youtube:000089,youtube,ef2c2b593c5de3d0b069cf8670721f79f7bd7b09d3241932ce73cd274ab0b4c1
90,3,2.5,2.5,0.83744854,0.9032922,0.8580247,0.27572018,youtube:000090,youtube,e47dc2e788c3958b514383020f7889da04059b29842b45d146a5fc0621f27413
91,3,1.3333333333333333,2.6666666666666665,0.6152263,0.6069959,0.63580245,0.10288066,youtube:000091,youtube,e7a3ace2bede02ac721fade30040f8184bf9baa6e04cdd15811d5c370b9ac0f8
92,3,3.6144578313253013,0.6024096385542169,0.3600823,0.34773663,0.3600823,0.21193415,youtube:000092,youtube,eaaf4fa0f46b9827d9ffae462469739658898789d8fccb1bfbb7cb6566db5c41
93,3,0.0,0.0,0.8909465,0.8683128,0.9279835,0.1563786,youtube:000093,youtube,b095dbb2b27bedfcbb0da6576de5335fb4588d2f6cc7cfff3e9b5db77260c8f7
94,2,4.918032786885246,2.73224043715847,0.7345679,0.72633743,0.73045266,0.48971194,youtube:000094,youtube,2c30bf29c88625554d563dfa91cefb1b27593d11c438cf8a8f10dd2a93b7a7ee
95,2,1.2345679012345678,1.8518518518518519,0.75102884,0.68106997,0.7839506,0.46296296,youtube:000095,youtube,3de071efe412af54e7d65e88d3b962c0e33d0f6515d125f77e4da5a455b423e8
96,1,4.487179487179487,3.8461538461538463,0.33127573,0.30246913,0.40946501,0.9444444,youtube:000096,youtube,bf97079c23edb1e7a09eddd99eba48c13d24935b96521da2e4666c6654bf8a3b
97,2,1.8518518518518519,1.8518518518518519,0.5349794,0.5761317,0.58230454,0.5205761,youtube:000097,youtube,1c3218381d9de5f0a1aa69fb68abdac30fa3a8a5827cbfb6c9e3d03ce22d31a0
98,3,1.3100436681222707,1.7467248908296944,0.4835391,0.62139916,0.5493827,0.7057613,youtube:000098,youtube,07b65bd38e255220f90efca0b4cff1d52698c934b26f02f20eebb02fa6c4268e
99,3,0.7751937984496124,0.0,0.69341564,0.537037,0.69341564,0.5781893,youtube:000099,youtube,a60dfe2e9fffe5a1508f26c7d635c5508f58aea3c9f821b261418388a1d9ce05
100,4,0.0,0.0,0.5493827,0.6440329,0.6399177,0.08436214,youtube:000100,youtube,e45aafcd0f75b993d6ab220b43171f867b60eebed50a369ac843e5912815c95d
101,3,1.3157894736842106,0.0,0.58641976,0.5555556,0.6481481,0.115226336,youtube:000101,youtube,923b9e72ad0b82610f29d547e92ba6648d3f6e450c1c498b3cc902e8dbc031e5
102,4,2.097902097902098,0.6993006993006993,0.7757202,0.7839506,0.74691355,0.33333334,youtube:000102,youtube,fb29234c2960f387271cf53d6e21fc6bdbec956f42ff48e6c1b545f4da130923
104,3,0.0,3.1746031746031744,0.55349797,0.43209878,0.5740741,0.24691358,youtube:000104,youtube,5108851506115ce0b2aa54cb39edbfa66560aea706a43a0c062c59238ad49e42
105,1,2.527075812274368,2.527075812274368,0.21604939,0.2674897,0.30658436,0.93621397,youtube:000105,youtube,41fdaec12250e9be2e812d493d91117a126c9ab82111f37d50a5d52984486586
106,3,4.8076923076923075,0.0,0.47530866,0.30246913,0.5,0.4218107,youtube:000106,youtube,c79984f7bbb302752dd0e085cf1044b97e1f1ad5aa4996357961a3a7023a9023
107,2,0.7518796992481203,1.5037593984962405,0.5205761,0.34773663,0.6234568,0.22839506,youtube:000107,youtube,e39d30060c44c25453adecf86b8330ff33a29c91cae33ce299314d91fa9fa1e2
108,1,2.9411764705882355,3.676470588235294,0.4053498,0.5041152,0.5041152,0.21193415,youtube:000108,youtube,2c26ab942a30e88ff2e87ce4a65bdb78f2efbcb397d186f1c89234aabaa299b3
109,4,0.0,3.5714285714285716,0.52469134,0.38271606,0.56584364,0.63786006,youtube:000109,youtube,bf416c9e8ad86d8e744c489e6fcf4afa65186d15cf27909213285443ced39249
110,1,0.0,1.639344262295082,0.28600824,0.40329218,0.38477367,0.024691358,youtube:000110,youtube,4f074b03c25695c593f26345ddcb0dc7b979de46cd4fb41c217a399babe7c289
111,2,2.185792349726776,1.092896174863388,0.17489712,0.100823045,0.29012346,0.9403292,youtube:000111,youtube,2d316a96470b8e77ba0f4478f249c8159c07b42813b26ac739f971e0f59faf0e
113,3,3.5211267605633805,0.704225352112676,0.89506173,0.9074074,0.845679,0.30658436,youtube:000113,youtube,d725d655c8fbafec577e8753c99fe337155638829c901e9e38805ee01d9ae73c
114,3,1.1627906976744187,1.1627906976744187,0.77160496,0.66255146,0.75102884,0.54526746,youtube:000114,youtube,2d5694f3f3e1be69d23dc787b39b88a387561150178cbb4a990a7fb0c57e843b
