class_label,feature,models_in_top_k,mean_reciprocal_rank,mean_absolute_weight,positive_model_count,negative_model_count,contributing_conditions
4,eat,1,0.5,6.663880141369495,1,0,C_COMPLEMENT_NB
4,highly,1,0.25,6.629039935958872,1,0,C_COMPLEMENT_NB
4,pay attention,1,0.2,6.619997145373853,1,0,C_COMPLEMENT_NB
4,explain,1,0.16666666666666666,6.597265172194238,1,0,C_COMPLEMENT_NB
4,recommend,1,0.125,6.572486212073194,1,0,C_COMPLEMENT_NB
4,certain,1,0.1,6.519022194990746,1,0,C_COMPLEMENT_NB
4,stuff,1,0.08333333333333333,6.503775985997389,1,0,C_COMPLEMENT_NB
4,eating,1,0.07692307692307693,6.498103912787417,1,0,C_COMPLEMENT_NB
4,behaviors,1,0.07142857142857142,6.496893681726975,1,0,C_COMPLEMENT_NB
4,potential,1,0.0625,6.487933112694323,1,0,C_COMPLEMENT_NB
4,sensitive,1,0.058823529411764705,0.5195462605487573,1,0,C_RIDGE
4,symptoms,1,0.058823529411764705,1.4365653558232183,0,1,C_LOGISTIC_REGRESSION
4,world,1,0.058823529411764705,6.484917829577271,1,0,C_COMPLEMENT_NB
4,differently,1,0.05555555555555555,6.48109919090014,1,0,C_COMPLEMENT_NB
4,uh,1,0.05555555555555555,1.4137590113571337,0,1,C_LOGISTIC_REGRESSION
4,diagnosis,1,0.05263157894736842,1.395209935774769,0,1,C_LOGISTIC_REGRESSION
4,family,1,0.05263157894736842,6.467464283014974,1,0,C_COMPLEMENT_NB
4,motivation,1,0.05,0.4764562468223006,1,0,C_RIDGE
4,times,1,0.05,6.459399179538264,1,0,C_COMPLEMENT_NB
