condition_a,condition_b,metric,mean_a_minus_b,sample_std_a_minus_b,minimum_a_minus_b,maximum_a_minus_b,condition_a_fold_wins,condition_b_fold_wins,ties,higher_is_better,inferential_test_performed
A_RIDGE,C_COMPLEMENT_NB,accuracy,-0.041153846153846166,0.05884950551876169,-0.10256410256410259,0.024999999999999967,1,3,1,True,False
A_RIDGE,C_COMPLEMENT_NB,weighted_f1,-0.02107775105895504,0.05373672243685634,-0.08669692880219199,0.04619841269841257,2,3,0,True,False
A_RIDGE,C_COMPLEMENT_NB,mean_absolute_error,0.026410256410256426,0.11316817063775653,-0.1499999999999999,0.15384615384615385,1,3,1,False,False
A_RIDGE,C_DECISION_TREE,quadratic_weighted_kappa,0.16363102895030798,0.183327397026577,-0.12466012778055689,0.3421256515002114,4,1,0,True,False
A_RIDGE,C_DECISION_TREE,accuracy,0.0664102564102564,0.039017351456261166,0.025641025641025605,0.12820512820512814,5,0,0,True,False
A_RIDGE,C_DECISION_TREE,weighted_f1,0.10323918337579319,0.05376587985793725,0.02333352921588222,0.16136507936507927,5,0,0,True,False
A_RIDGE,C_DECISION_TREE,mean_absolute_error,-0.23448717948717945,0.20346703173881067,-0.4358974358974359,0.02564102564102555,4,1,0,False,False
A_RIDGE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.07458819813795706,0.09612773769978447,-0.1920003168951056,0.04834684965689329,1,4,0,True,False
A_RIDGE,D_FROZEN_MINILM,accuracy,-0.035769230769230775,0.04294489075944387,-0.07692307692307698,0.025641025641025716,1,4,0,True,False
A_RIDGE,D_FROZEN_MINILM,weighted_f1,-0.0385579636333032,0.04284433335798717,-0.09290787950960139,0.00960936713624888,1,4,0,True,False
A_RIDGE,D_FROZEN_MINILM,mean_absolute_error,0.051153846153846175,0.04064426097289593,0.0,0.10256410256410253,0,4,1,False,False
A_RIDGE,E_FINETUNED_BERT,quadratic_weighted_kappa,0.17301940236302876,0.22175537605795936,-0.0930979898214499,0.42340090573659916,3,2,0,True,False
A_RIDGE,E_FINETUNED_BERT,accuracy,0.1173076923076923,0.08220388453399649,0.0,0.2051282051282051,4,0,1,True,False
A_RIDGE,E_FINETUNED_BERT,weighted_f1,0.13055088111066288,0.08500797368444354,0.012123786317334684,0.24537815126050422,5,0,0,True,False
A_RIDGE,E_FINETUNED_BERT,mean_absolute_error,-0.12807692307692303,0.13212003437991376,-0.3076923076923074,0.02564102564102555,4,1,0,False,False
A_RIDGE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.22380830599591048,0.16057243425610232,-0.0564007421150278,0.334061135371179,4,1,0,True,False
A_RIDGE,BASELINE_MOST_FREQUENT,accuracy,-0.020641025641025636,0.07976636248335778,-0.10256410256410259,0.07692307692307693,2,2,1,True,False
A_RIDGE,BASELINE_MOST_FREQUENT,weighted_f1,0.14897370649250252,0.07597249875635881,0.06297143716498549,0.23538548100882312,5,0,0,True,False
A_RIDGE,BASELINE_MOST_FREQUENT,mean_absolute_error,-0.15782051282051274,0.13173381055819133,-0.3076923076923075,0.02564102564102555,4,1,0,False,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.21476444302224915,0.1589004452625984,-0.017904472485523626,0.42702595949178207,4,1,0,True,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,accuracy,0.050897435897435915,0.0958152156786987,-0.07692307692307687,0.1794871794871794,3,1,1,True,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,weighted_f1,0.06004232676112281,0.08841529825136647,-0.061055903161166325,0.17515238077572293,4,1,0,True,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,mean_absolute_error,-0.16282051282051282,0.14698929013211717,-0.33333333333333326,0.02564102564102566,4,1,0,False,False
A_COMPLEMENT_NB,A_DECISION_TREE,quadratic_weighted_kappa,0.05446108787874626,0.1634964015879734,-0.2089228062057301,0.2274414032210868,4,1,0,True,False
A_COMPLEMENT_NB,A_DECISION_TREE,accuracy,0.12794871794871795,0.1440822597247485,-0.02564102564102566,0.2820512820512821,4,1,0,True,False
A_COMPLEMENT_NB,A_DECISION_TREE,weighted_f1,0.15929621335157323,0.1716292614660792,-0.024270938716627388,0.3485347985347985,4,1,0,True,False
A_COMPLEMENT_NB,A_DECISION_TREE,mean_absolute_error,-0.0762820512820513,0.16192084372254603,-0.23076923076923084,0.1794871794871794,4,1,0,False,False
A_COMPLEMENT_NB,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.0765382224574862,0.17347760189485556,-0.25508130081300806,0.19578098163974245,1,4,0,True,False
A_COMPLEMENT_NB,B_LOGISTIC_REGRESSION,accuracy,0.05628205128205127,0.08586920699563477,0.0,0.20512820512820512,3,0,2,True,False
A_COMPLEMENT_NB,B_LOGISTIC_REGRESSION,weighted_f1,0.013462620569281103,0.09035373143678672,-0.08032403483763523,0.16068376068376072,3,2,0,True,False
A_COMPLEMENT_NB,B_LOGISTIC_REGRESSION,mean_absolute_error,0.03538461538461533,0.2029888438878656,-0.3076923076923077,0.20512820512820507,1,4,0,False,False
A_COMPLEMENT_NB,B_RIDGE,quadratic_weighted_kappa,0.03159000375797258,0.20048661985540672,-0.1817061408209195,0.3082870814407106,3,2,0,True,False
A_COMPLEMENT_NB,B_RIDGE,accuracy,0.09217948717948718,0.11703274490225245,-0.02564102564102566,0.2820512820512821,4,1,0,True,False
A_COMPLEMENT_NB,B_RIDGE,weighted_f1,0.036150518336879586,0.10004107968665298,-0.0365578061181962,0.208483304135478,3,2,0,True,False
A_COMPLEMENT_NB,B_RIDGE,mean_absolute_error,-0.0875641025641026,0.258403947847135,-0.5128205128205129,0.15384615384615374,3,2,0,False,False
A_COMPLEMENT_NB,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.011345039849197911,0.0974314617953512,-0.1480431083380602,0.0819162116275868,3,2,0,True,False
A_COMPLEMENT_NB,B_COMPLEMENT_NB,accuracy,0.010256410256410265,0.053170362444430026,-0.07692307692307687,0.051282051282051266,3,1,1,True,False
A_COMPLEMENT_NB,B_COMPLEMENT_NB,weighted_f1,-0.01670426926000009,0.03845026966549745,-0.06258257871161099,0.02453681584116363,2,3,0,True,False
A_COMPLEMENT_NB,B_COMPLEMENT_NB,mean_absolute_error,0.025128205128205062,0.090116441585595,-0.07692307692307687,0.12820512820512808,2,3,0,False,False
A_COMPLEMENT_NB,B_DECISION_TREE,quadratic_weighted_kappa,0.11503509100482479,0.1009010742889244,-0.017815574078246105,0.2274414032210868,4,1,0,True,False
A_COMPLEMENT_NB,B_DECISION_TREE,accuracy,0.1587179487179487,0.13998567598366937,-0.02564102564102566,0.2820512820512821,4,1,0,True,False
A_COMPLEMENT_NB,B_DECISION_TREE,weighted_f1,0.16484849732490986,0.13323355219512703,0.03596630829881442,0.3325506402429479,5,0,0,True,False
A_COMPLEMENT_NB,B_DECISION_TREE,mean_absolute_error,-0.18910256410256412,0.11737072707436261,-0.3333333333333335,-0.02564102564102555,5,0,0,False,False
A_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.03142688316678484,0.16775727152627393,-0.2678571428571428,0.12678177906760485,3,2,0,True,False
A_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,accuracy,0.015256410256410247,0.0917186512091116,-0.1282051282051282,0.1282051282051282,4,1,0,True,False
A_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,weighted_f1,-0.01675224600951437,0.08841742009203137,-0.11299207259936578,0.12384652384652389,2,3,0,True,False
A_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,mean_absolute_error,0.03051282051282045,0.1825390720380511,-0.17948717948717952,0.3076923076923076,2,3,0,False,False
A_COMPLEMENT_NB,C_RIDGE,quadratic_weighted_kappa,-0.029463004439080075,0.2581699332805536,-0.3735984219269103,0.3226006749230658,3,2,0,True,False
A_COMPLEMENT_NB,C_RIDGE,accuracy,0.031025641025641038,0.08740731918856542,-0.051282051282051266,0.1538461538461539,3,2,0,True,False
A_COMPLEMENT_NB,C_RIDGE,weighted_f1,-0.012627810441929422,0.09492305646701886,-0.11339293156622487,0.14131054131054133,1,4,0,True,False
A_COMPLEMENT_NB,C_RIDGE,mean_absolute_error,0.024358974358974318,0.22189118999464275,-0.3076923076923077,0.2499999999999999,2,2,1,False,False
A_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.006538339247190517,0.08480745834510252,-0.12874531835206002,0.09366286235772892,3,2,0,True,False
A_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,0.010128205128205125,0.0643207824161413,-0.10256410256410259,0.05128205128205132,4,1,0,True,False
A_COMPLEMENT_NB,C_COMPLEMENT_NB,weighted_f1,-0.010579116054525373,0.05146308120378646,-0.07967659580562808,0.06282546282546281,2,3,0,True,False
A_COMPLEMENT_NB,C_COMPLEMENT_NB,mean_absolute_error,0.020512820512820485,0.10159801413414841,-0.10256410256410253,0.1794871794871794,1,2,2,False,False
A_COMPLEMENT_NB,C_DECISION_TREE,quadratic_weighted_kappa,0.1585191311269887,0.14676030376592097,-0.028103945251021598,0.3083735147374761,4,1,0,True,False
A_COMPLEMENT_NB,C_DECISION_TREE,accuracy,0.11769230769230768,0.05357379225241631,0.04999999999999999,0.17948717948717952,5,0,0,True,False
A_COMPLEMENT_NB,C_DECISION_TREE,weighted_f1,0.11373781838022286,0.025661749410518565,0.08897419784516558,0.1486513486513487,5,0,0,True,False
