condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,higher_is_better
A_RIDGE,C_LOGISTIC_REGRESSION,accuracy,0.020000000000000018,0.019808,-0.040000000000000036,0.09999999999999998,0.95,10000,True
A_RIDGE,C_RIDGE,accuracy,0.03999999999999998,0.039566000000000004,-0.03999999999999998,0.12,0.95,10000,True
A_RIDGE,C_COMPLEMENT_NB,accuracy,0.03999999999999998,0.039524000000000004,-0.08000000000000002,0.16000000000000003,0.95,10000,True
A_RIDGE,C_DECISION_TREE,accuracy,0.28,0.280006,0.13999999999999999,0.42000000000000004,0.95,10000,True
A_RIDGE,D_FROZEN_MINILM,accuracy,0.03999999999999998,0.03879,-0.12,0.2,0.95,10000,True
A_RIDGE,E_FINETUNED_BERT,accuracy,0.08000000000000002,0.07916,-0.09999999999999998,0.26,0.95,10000,True
A_RIDGE,BASELINE_MOST_FREQUENT,accuracy,0.03999999999999998,0.039525999999999985,-0.10000000000000003,0.17999999999999994,0.95,10000,True
A_RIDGE,BASELINE_STRATIFIED_RANDOM,accuracy,0.18,0.179902,0.0,0.36000000000000004,0.95,10000,True
A_COMPLEMENT_NB,A_DECISION_TREE,accuracy,0.08000000000000002,0.08025,-0.06,0.20000000000000007,0.95,10000,True
A_COMPLEMENT_NB,B_LOGISTIC_REGRESSION,accuracy,0.09999999999999998,0.09974000000000001,-0.020000000000000018,0.22000000000000003,0.95,10000,True
A_COMPLEMENT_NB,B_RIDGE,accuracy,0.15999999999999998,0.159552,0.019999999999999962,0.30000000000000004,0.95,10000,True
A_COMPLEMENT_NB,B_COMPLEMENT_NB,accuracy,0.06,0.05974200000000001,-0.020000000000000018,0.14,0.95,10000,True
A_COMPLEMENT_NB,B_DECISION_TREE,accuracy,0.06,0.060303999999999996,-0.07999999999999996,0.19999999999999996,0.95,10000,True
A_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,accuracy,0.020000000000000018,0.02031,-0.06000000000000005,0.12,0.95,10000,True
A_COMPLEMENT_NB,C_RIDGE,accuracy,0.03999999999999998,0.040068000000000006,-0.06,0.14,0.95,10000,True
